CERT,CHCLASS1,CITYST,COST,FAILDATE,FIN,ID,NAME,QBFASSET,RESTYPE,RESTYPE1,SAVR
13797,NM,"TAYLOR, NE",1653,5/31/1985,2466,1000,BANK OF TAYLOR,14542,FAILURE,PA,FDIC
18388,NM,"FAIRFIELD, NE",1656,5/31/1985,6571,1001,FAIRFIELD STATE BANK,6795,FAILURE,PO,FDIC
18738,NM,"EDGAR, NE",1118,5/31/1985,2469,1002,SECURITY STATE BANK,6570,FAILURE,PA,FDIC
19117,NM,"OAK, NE",165,5/31/1985,6570,1003,SCROGGIN & COMPANY BANK,3552,FAILURE,PO,FDIC
30965,SL,"SAN DIEGO, CA",327146,5/31/1985,1706,1004,CENTRAL S&LA,2308903,ASSISTANCE,A/A,FSLIC
28621,SL,"BEVERLY HILLS, CA",223825,6/6/1985,1707,1005,SOUTHERN CALIFORNIA  S&LA,1492644,ASSISTANCE,A/A,FSLIC
31323,SL,"NASHVILLE, TN",3638,6/7/1985,0,1006,COMMUNITY FS&LA,22747,FAILURE,PO,FSLIC
31674,SL,"KNOXVILLE, TN",1529,6/7/1985,0,1007,MAGNOLIA FS&LA,4816,FAILURE,IDT,FSLIC
18551,N,"RIVERTON, WY",10568,6/11/1985,2470,1008,AMERICAN NATIONAL BANK OF RIVERTON,37937,FAILURE,PA,FDIC
4657,NM,"EDNA, KS",2827,6/13/1985,2471,1009,THE FIRST STATE BANK,8325,FAILURE,PA,FDIC
1602,NM,"BENSON, MN",8386,6/14/1985,2472,1010,SWIFT COUNTY BANK,41598,FAILURE,PA,FDIC
11613,NM,"DODGEVILLE, WI",2,6/14/1985,6576,1011,STRONG'S BANK,30733,FAILURE,IDT,FDIC
10507,NM,"DEXTER, KS",1280,6/20/1985,6577,1012,FARMERS STATE BANK OF DEXTER,4267,FAILURE,PO,FDIC
4165,N,"OKLAHOMA CITY, OK",32615,6/21/1985,2474,1013,"FIRST CITY BANK, N.A.",97808,FAILURE,PA,FDIC
13153,NM,"URBANA, IA",810,6/21/1985,2473,1014,URBANA SAVINGS BANK,7158,FAILURE,PA,FDIC
22452,N,"NEW YORK, NY",0,6/21/1985,5580,1015,GOLDEN PACIFIC NATIONAL BANK,146254,FAILURE,IDT,FDIC
28745,SL,"SAN CARLOS, CA",453308,6/21/1985,1729,1016,EUREKA FS&LA,1570628,ASSISTANCE,A/A,FSLIC
28913,SB,"LAKE PROVIDENCE, LA",156154,6/25/1985,7530,1017,"SUN BELT FEDERAL BANK, FSB",278335,FAILURE,ABT,FSLIC
31480,SL,"NEW ORLEANS, LA",73507,6/25/1985,7536,1018,NEW ORLEANS S&LA,118050,FAILURE,ABT,FSLIC
31891,SL,"NEW ORLEANS, LA",166227,6/25/1985,7535,1019,AUDUBON S&LA,211301,FAILURE,ABT,FSLIC
32015,SL,"BATON ROUGE, LA",29713,6/25/1985,0,1020,COMMUNITY FS&LA,47936,FAILURE,ABT,FSLIC
32029,SL,"COVINGTON, LA",89333,6/25/1985,7534,1021,NORTHLAKE S&LA,141383,FAILURE,ABT,FSLIC
32098,SB,"NEW ORLEANS, LA",53664,6/25/1985,7532,1022,CRESCENT SAVINGS BANK,89114,FAILURE,ABT,FSLIC
31940,SL,"SHAWNEE MSN, KS",16154,6/26/1985,1669,1023,CENTURY SA,91832,ASSISTANCE,A/A,FSLIC
4968,NM,"TRACY CITY, TN",2912,6/28/1985,2475,1024,FIRST BANK & TRUST,21123,FAILURE,PA,FDIC
31839,SL,"BATESVILLE, MS",4110,7/1/1985,0,1025,CITIZENS S&LA,18387,ASSISTANCE,A/A,FSLIC
10510,NM,"MADISON, KS",2479,7/2/1985,2476,1026,MADISON BANK,8392,FAILURE,PA,FDIC
14837,N,"JACKSONVILLE, AL",9086,7/5/1985,2477,1027,THE FIRST NATIONAL BANK OF JACKSONVILLE,43290,FAILURE,PA,FDIC
22163,NM,"OKLAHOMA CITY, OK",6920,7/11/1985,6584,1028,CROSSROADS STATE BANK,17776,FAILURE,PO,FDIC
3166,N,"DARROUZETT, TX",4130,7/18/1985,5586,1029,THE FIRST NATIONAL BANK OF DAROUZZET,18213,FAILURE,PO,FDIC
17962,NM,"ESKRIDGE, KS",5324,7/18/1985,2478,1030,ESKRIDGE STATE BANK,10137,FAILURE,PA,FDIC
32016,SL,"LAKE WORTH, FL",419225,7/18/1985,7543,1031,"SUNRISE, S&LA",1516512,FAILURE,ABT,FSLIC
10625,NM,"LINNEUS, MO",2214,7/19/1985,2480,1032,LINN COUNTY BANK,5381,FAILURE,PA,FDIC
22851,SM,"BLACK HAWK, CO",1330,7/19/1985,2479,1033,GILPIN COUNTY BANK,3861,FAILURE,PA,FDIC
28504,SL,"FLUSHING, NY",22906,7/19/1985,1682,1034,FLUSHING FS&LA,527685,ASSISTANCE,A/A,FSLIC
4745,N,"ONAGA, KS",2229,7/23/1985,2481,1035,THE FIRST NATIONAL BANK OF ONAGA,22379,FAILURE,PA,FDIC
18928,N,"GLENROCK, WY",4459,7/23/1985,2482,1036,FIRST NATIONAL BANK OF GLENROCK,18686,FAILURE,PA,FDIC
12423,NM,"EL DORADO, KS",1455,7/25/1985,2484,1037,CITIZENS STATE BANK OF EL DORADO,31185,FAILURE,PA,FDIC
20699,NM,"OVERLAND PARK, KS",6351,7/25/1985,2483,1038,KANSAS AMERICAN BANK,25707,FAILURE,PA,FDIC
28490,SL,"SAN MATEO, CA",829701,7/25/1985,1750,1039,BELL  S&LA,1635150,ASSISTANCE,A/A,FSLIC
18862,N,"HOUSTON, TX",3568,8/1/1985,2491,1040,RIVERSIDE NATIONAL BANK OF HOUSTON,18365,FAILURE,PA,FDIC
29071,SL,"PENDLETON, OR",8800,8/1/1985,1670,1041,WESTERN HERITAGE FS&LA,175148,ASSISTANCE,A/A,FSLIC
10970,NM,"ROUND LAKE, MN",7462,8/2/1985,2486,1042,FARMERS STATE BANK OF ROUND LAKE,23210,FAILURE,PA,FDIC
11828,NM,"RISING CITY, NE",320,8/2/1985,2485,1043,FARMERS STATE BANK,12845,FAILURE,PA,FDIC
29527,SL,"TEMPLE, TX",177863,8/2/1985,7520,1044,BELL SAVINGS BANC,185009,FAILURE,IDT,FSLIC
14180,NM,"MINEOLA, IA",213,8/6/1985,2489,1045,MINEOLA STATE BANK,5205,FAILURE,PA,FDIC
29540,SL,"SANTA ANA, CA",371337,8/7/1985,1754,1046,BUTTERFIELD  S&LA,708261,ASSISTANCE,A/A,FSLIC
18907,NM,"MIDWEST CITY, OK",6913,8/8/1985,2490,1047,SECURITY BANK & TRUST COMPANY,34976,FAILURE,PA,FDIC
10085,NM,"FARMERSVILLE, IL",2181,8/9/1985,2492,1048,STATE BANK OF FARMERSVILLE,11984,FAILURE,PA,FDIC
31906,SL,"DENVER, CO",56310,8/9/1985,0,1049,SIERRA FS&LA,48363,FAILURE,IDT,FSLIC
15380,NM,"HERNDON, KS",1571,8/14/1985,6600,1050,STATE BANK OF HERNDON,6237,FAILURE,PO,FDIC
24761,N,"FARMERS BRANCH, TX",5328,8/15/1985,5601,1051,"PARK WEST BANK, N.A.",20544,FAILURE,IDT,FDIC
55,NM,"ANDALUSIA, AL",0,8/16/1985,1926,1052,THE COMMERCIAL BANK,77816,ASSISTANCE,A/A,FDIC
32055,SL,"KALISPELL, MT",12908,8/16/1985,7521,1053,MONTANA S&LA,26949,FAILURE,PO,FSLIC
31818,SL,"GUERNEVILLE, CA",148930,8/20/1985,7557,1054,CENTENNIAL  S&LA,368163,FAILURE,IDT,FSLIC
10501,NM,"BRONSON, KS",3042,8/23/1985,6602,1055,THE BANK OF BRONSON,9604,FAILURE,PO,FDIC
32083,SL,"KENNER, LA",147947,8/23/1985,7522,1056,ALLIANCE FS&LA,188137,FAILURE,IDT,FSLIC
16084,NM,"CARDWELL, MO",868,8/28/1985,2493,1057,CARDWELL STATE BANK,6206,FAILURE,PA,FDIC
19574,NM,"HAYTI, MO",1367,8/28/1985,2494,1058,MISSOURI DELTA BANK,9116,FAILURE,PA,FDIC
