DATE,UNRATE,CPIAUCSL_PC1,INTDSRUSM193N,FEDFUNDS
1/1/1948,3.4,10.24209,.,.
2/1/1948,3.8,9.48196,.,.
3/1/1948,4,6.81818,.,.
4/1/1948,3.9,8.27273,.,.
5/1/1948,3.5,9.38497,.,.
6/1/1948,3.6,9.375,.,.
7/1/1948,3.6,9.76158,.,.
8/1/1948,3.9,9.0625,.,.
9/1/1948,3.8,6.65499,.,.
10/1/1948,3.7,6.11087,.,.
11/1/1948,3.8,4.77016,.,.
12/1/1948,4,2.73387,.,.
1/1/1949,4.3,1.39358,.,.
2/1/1949,4.7,1.01394,.,.
3/1/1949,5,1.74468,.,.
4/1/1949,5.3,0.41982,.,.
5/1/1949,6.1,-0.41649,.,.
6/1/1949,6.2,-0.95238,.,.
7/1/1949,6.7,-2.86885,.,.
8/1/1949,6.8,-2.98813,.,.
9/1/1949,6.6,-2.50411,.,.
10/1/1949,7.9,-2.63266,.,.
11/1/1949,6.4,-1.90397,.,.
12/1/1949,6.6,-1.82952,.,.
1/1/1950,6.5,-2.08247,1.5,.
2/1/1950,6.4,-1.25471,1.5,.
3/1/1950,6.3,-1.12923,1.5,.
4/1/1950,5.8,-1.12876,1.5,.
5/1/1950,5.5,-0.58553,1.5,.
6/1/1950,5.4,-0.16722,1.5,.
7/1/1950,5,1.56118,1.5,.
8/1/1950,4.5,2.1097,1.59,.
9/1/1950,4.4,2.48421,1.75,.
10/1/1950,4.2,3.50655,1.75,.
11/1/1950,4.2,3.79747,1.75,.
12/1/1950,4.3,5.80263,1.75,.
1/1/1951,3.7,7.95406,1.75,.
2/1/1951,3.4,9.4028,1.75,.
3/1/1951,3.4,9.47547,1.75,.
4/1/1951,3.1,9.59831,1.75,.
5/1/1951,3,9.3395,1.75,.
6/1/1951,3.2,8.58459,1.75,.
7/1/1951,3.1,7.64437,1.75,.
8/1/1951,3.1,6.8595,1.75,.
9/1/1951,3.3,6.9433,1.75,.
10/1/1951,3.5,6.77551,1.75,.
11/1/1951,3.5,6.99187,1.75,.
12/1/1951,3.1,5.96477,1.75,.
1/1/1952,3.2,4.21592,1.75,.
2/1/1952,3.1,2.24545,1.75,.
3/1/1952,2.9,1.97063,1.75,.
4/1/1952,2.9,2.08333,1.75,.
5/1/1952,3,1.84686,1.75,.
6/1/1952,3,2.31392,1.75,.
7/1/1952,3.2,2.97183,1.75,.
8/1/1952,3.4,3.20959,1.75,.
9/1/1952,3.1,2.30503,1.75,.
10/1/1952,3,2.02599,1.75,.
11/1/1952,2.8,1.40578,1.75,.
12/1/1952,2.7,0.90669,1.75,.
1/1/1953,2.9,0.71834,1.88,.
2/1/1953,2.6,0.68156,2,.
3/1/1953,2.6,0.90944,2,.
4/1/1953,2.7,0.86924,2,.
5/1/1953,2.5,0.86891,2,.
6/1/1953,2.5,0.90464,2,.
7/1/1953,2.6,0.41229,2,.
8/1/1953,2.7,0.59948,2,.
9/1/1953,2.9,0.97634,2,.
10/1/1953,3.1,0.97415,2,.
11/1/1953,3.5,0.59948,2,.
12/1/1953,4.5,0.59903,2,.
1/1/1954,4.9,1.12613,2,.
2/1/1954,5.2,1.50432,1.79,.
3/1/1954,5.7,1.12655,1.75,.
4/1/1954,5.9,0.63694,1.63,.
5/1/1954,5.9,0.86142,1.5,.
6/1/1954,5.6,0.63504,1.5,.
7/1/1954,5.8,0.26129,1.5,0.8
8/1/1954,6,0,1.5,1.22
9/1/1954,6.1,-0.29751,1.5,1.07
10/1/1954,5.7,-0.85343,1.5,0.85
11/1/1954,5.3,-0.26071,1.5,0.83
12/1/1954,5,-0.37216,1.5,1.28
1/1/1955,4.9,-0.63103,1.5,1.39
2/1/1955,4.7,-0.62986,1.5,1.29
3/1/1955,4.6,-0.51987,1.5,1.35
4/1/1955,4.7,-0.26061,1.63,1.43
5/1/1955,4.3,-0.59413,1.75,1.43
6/1/1955,4.2,-0.85375,1.75,1.64
7/1/1955,4,-0.3723,1.75,1.68
